weapon,target,title,description,link,la,lo,date,timestamp,accuracy,
ships,1,"Пошкодження російського фрегата/флагмана ""Адмірал Макаров""","Фрегат ""Адмірал Макаров"" був уражений українським дроном СБУ ""Sea Baby"" у Севастопольскій бухті.",1. https://www.pravda.com.ua/news/2022/10/30/7374125/ 2. https://t.me/SBUkr/10469,44.624232782418915,33.50429746911183,2022-10-29,,0,(Севастопольська бухта/море біля Севастополя)
ships,1,"Знищення великого десантного корабля ""Цезарь Куников""","ВДК ""Цезарь Куніков"" був знищений українським морським дроном ""Magura"" спецпризначенцями ""Групи 13"" неподалік міста Алупка. Знищення було визначено за уламками та ""маслянистою плямою"", утвореною внаслідок витоку з судна.",https://t.me/DIUkraine/3469 https://t.me/hromadske_ua/42720,44.4099085,34.050272,2024-02-14,,0,
ships,1,"Пошкодження фрегату російського флоту ""Адмірал Ессен""","Під час атаки на російський фрегат «Адмірал Ессен» у бухті Севастополя росіяни знищили [морський дрон] приблизно у 100 метрах від фрегату. Але оскільки заряд був досить потужний, від вибухової хвилі та уламків було повністю пошкоджене радіоелектронне обладнання корабля, певна електроніка, антенні системи та гідроакустична система.",1. https://t.me/OP_UA/6149 2. https://t.me/DIUkraine/2739,44.6232010478256,33.51715720646042,2022-04-04,,0,
ships,1,"Загоряння корабля тилового забезпечення ""Всеволод Бобров""","Корабель тилового забезпечення ""Всеволод Бобров"" був уражений в районі о. Зміїний.",https://t.me/Bratchuk_Sergey/11934,45.254024924395644,30.195829420349263,2022-05-12,,0,(поблизу о. Зміїний)
ships,1,"Знищення десантного катеру типу ""Серна""","Біля о. Зміїний українські військові знищили десантний катер типу ""Серна"".",https://www.facebook.com/watch/?v=368923535296547,45.255975465298945,30.192781495684745,2022-05-07,,0,(поблизу о. Зміїний)
ships,1,"Знищення пʼятьох російських катерів типу ""Раптор""","Сили оборони знищили пʼять російських катерів типу ""Раптор"" поблизу острова Зміїний. ","https://www.facebook.com/share/v/YViYqyX5t8v5sQuj/?mibextid=VswTDb&startTimeMs=5000, https://t.me/DeepStateUA/13738",45.249906895808074,30.209960707430206,2022-06-15,,0,(поблизу о. Зміїний)
ships,1,Знищення російського катеру,В районі Коблевого знищено катер та до 20 чоловік особового складу ДРГ противника.,https://t.me/kpszsu/89 ,46.62745138812395,31.178410641019585,2022-02-26,,0,(в районі Коблева)
ships,1,"Пошкодження російського патрульного корабля типу ""Василь Биков"" ""Сергій Котов""","У південно-західній частині Чорного моря ""Group 13"" атакували російський патрульний корабель ""Сергій Котов"" морськими дронами.",1. https://t.me/DIUkraine/2851 2. https://t.me/DIUkraine/3433,44.81997921206359,33.13616302749634,2023-09-14,,0,
ships,1,"Пошкодження патрульного корабля типу ""Василь Биков"" ""Павло Державін""","Патрульний корабель ""Павло Державін"" був двічі уражений у т.о. Севастополі.",https://t.me/Bratchuk_Sergey/58848 ,44.621583038271105,33.49940101635525,2023-10-13,,0,(в районі Севастополя)
ships,1,"Пошкодження буксиру ""Професор Ніколай Муру""",ЗСУ уразили рятувальний буксир Чорноморського флоту РФ «Професор Ніколай Муру» у Севастополі ,https://t.me/Bratchuk_Sergey/58849 ,44.638884811600775,33.51329359269227,2023-10-13,,0,(в районі Севастополя)
ships,1,"Пошкодження російського протимінного розвідувально-гідрографічного корабля ""Владімір Козицький""","Розвідувальний корабель ""Владімір Козицький"" був уражений морськими дронами у Севастопольській бухті.",https://t.me/SBUkr/10469,44.62066764833695,33.53218711804175,2023-10-26,,0,(Севастопольська бухта)
ships,1,"Пошкодження дизель-електричного підводного човна ""Ростов-на-Дону""","Підводний човен ""Ростов-на-Дону"" був уражений крилатими ракетами ПС ЗСУ внаслідок атаки на Севастопольський морський завод.",https://t.me/kpszsu/5236,44.6045153933482,33.53751346684567,2023-09-13,,1,
ships,1,"Пошкодження великого десантного корабля ""Мінськ""","ВДК ""Мінськ"" був уражений крилатими ракетами ПС ЗСУ внаслідок атаки на Севастопольський морський завод.",https://t.me/kpszsu/5237 ,44.6045153933482,33.53751346684567,2023-09-13,,1,
ships,1,"Знищення російського швидкісного десантного катеру класу ""Акула""",Обидва російські судна були уражені українськими морськими дронами та пішли на дно разом із завантаженим на борт бронетранспортером.,https://t.me/DIUkraine/3166,45.51929196595602,32.703801718376376,2023-11-10,,1,"(в районі бухти Вузька, селища Чорноморське, Крим)"
ships,1,"Знищення російського швидкісного десантного катеру класу ""Серна""",Обидва російські судна були уражені українськими морськими дронами та пішли на дно разом із завантаженим на борт бронетранспортером.,https://t.me/DIUkraine/3166,45.51360855221071,32.693845358998416,2023-11-10,,1,"(в районі бухти Вузька, селища Чорноморське, Крим)"
ships,1,Знищення російського катеру типу КС-701 “Тунець”,Українські військові знищили російський катер типу КС-701 «Тунец» у північно-західній частині Чорного моря,https://t.me/ukrainian_navy/3971,46.61534641341524,31.12593903692945,2023-09-03,,0,
ships,1,Знищення російського катеру типу КС-701 “Тунець”,В північно-західній частині Чорного моря під час спроби висадки ворожого десанту знищено ворожий катер КС-701 “Тунець” ,https://www.facebook.com/100064727737034/posts/pfbid0jmVS5WJa9fpQ9m3t1Y1Mxg2VjQ5eNBsBtXXXtB5SXqTdNtaUApmhk386LKyMr7nVl/ ,46.62816675623613,31.15933239821334,2023-09-13,,0,
ships,1,Знищення чотирьох швидкоходних катерів,Біля села Маяк у Криму ГУР та ВМС пошкодили чотири швидкісні катери росіян. ,https://suspilne.media/557945-pid-cas-specoperacii-gur-v-krimu-ukrainski-vijskovi-likviduvali-osobovij-sklad-ta-poskodili-tehniku/ ,45.34665819730624,32.494272136987696,2023-08-24,,1,
ships,1,Пошкодження катеру з російськими окупантами,Катер з російськими окупантами був уражений FPV-дроном.,https://t.me/generalstaff_ua/8304,46.563445725059516,31.59138049823758,2023-08-14,,0,
ships,1,Знищення двох російських катерів,Українські військові ліквідували два катери та дві ДРГ росіян на півдні,https://t.me/trkmart/17522,46.62133676517359,32.61555609703481,2023-02-06,,0,
ships,1,Знищення привласненого росіянами цивільного катеру,Сили оборони вразили легкомоторний цивільний катер при спробі ворожої ДРГ висадитися на один з Потьомкінських островів на Дніпрі.,https://t.me/Bratchuk_Sergey/27649,46.57773559041479,32.57528765478665,2023-01-23,,1,
ships,1,Пошкодження ворожого катеру,"В дельті річки Дніпро, в районі острова Білогрудий, сили оборони Таврійського напрямку  артилерійськими засобами уразили ворожий катер.",https://t.me/Bratchuk_Sergey/26697,46.53346739511629,32.468493581047525,2023-01-10,,1,
ships,1,"Знищення ракетного катеру проєкту 1241.1, клас ""Молнія""","У західній частині т.о. Криму було знищено ракетний катер російських окупантів 41 бригади ракетних катерів, який ніс бойове чергування, охороняючи пункт базування у Новоозерному.",https://t.me/ukrainian_navy/5013,45.38052111345634,33.10149185850922,2024-02-01,,1,
shelling,2,"Удар по ""вишках Бойка"", які продовжували горіти до літа 2023 року  ","Збройні сили України завдали ракетний удар по ""вишках Бойка"" у Чорному морі — ""Петро Годованець"" і ""Україна""",https://www.pravda.com.ua/news/2022/06/20/7353582/,45.3967067,30.906557,2022-06-20,,,
shelling,2,Удар по прибережній зоні у Коблевській громаді ,Внаслідок ворожої атаки по населеному пункту Коблівської громади відбулось руйнування та займання обʼєктів рекреаційної інфраструктури в прибережній зоні.,https://t.me/mykolaivskaODA/5667,46.61830164545999,31.22019297642651,2023-07-19,,0,
shelling,2,Пʼять російських ракет вдарили по Чорноморському узбережжю в Ізмаїльському районі ,Російські війська обстріляли чорноморське узбережжя в Ізмаїльському районі.,https://www.facebook.com/OperationalCommandSouth/videos/1236142223855730?locale=uk_UA,45.32638560449425,28.510251479791958,2022-06-30,,0,
shelling,2,"Ракетні удари по чорноморському узбережжю на півдні Одещини, падіння у море російського гелікоптера Ка-52 ","Відбиваючи атаки ЗСУ по острову Зміїному, росіяни завдали ракетних ударів по узбережжю на Одещині. Один із збитих ЗСУ гелікоптерів РФ впав у море",https://www.facebook.com/OperationalCommandSouth/videos/1112389482961073?locale=uk_UA,45.85797588047122,30.200502464568817,2022-06-29,,0,
shelling,2,Обстріл прибережної зони Одеської області.,Обстріл прибережної зони Одеської області.,https://www.facebook.com/OperationalCommandSouth/videos/1357306001732921?locale=uk_UA,46.56480867059632,30.87868847655095,2023-02-11,,0,
ships,1,Пошкодження цивільного судна під прапором Панами,В Чорному морі стався підрив на ворожій морській міні цивільного судна під прапором Панами. Балкер прямував під завантаження зерном до одного з дунайських портів.,https://t.me/SJTF_Odes/4559,46.10244514849751,30.889801466892457,2023-12-28,,0,
ships,1,Пошкодження морського цивільного судна під прапором Ліберії,Ворог поцілив по цивільному морському судну під прапором Ліберії під час його швартування до причалу морського торговельного порту на Одещині.,https://t.me/pgo_gov_ua/18684?single,46.618332494589126,31.02539066335744,2023-11-08,,0,
ships,1,"Пошкодження торгового цивільного судна ""HELT"" під прапором Панами","Обстріл цивільного судна під панамським прапором «HELT» російським військовим кораблем на Одещині. Внаслідок ураження судна стався витік паливо-мастильних матеріалів, який утворив плівку на поверхні води.",https://www.gp.gov.ua/ua/posts/obstril-civilnogo-sudna-helt-rosiiskim-viiskovim-korablem-na-odeshhini-rozpocato-rozsliduvannya,46.46484939017739,30.80816259217083,2022-03-04,,0,(на відстані 12 морських миль)
ships,1,Пошкодження двох цивільних суден у Херсонському порту,"Через ворожий обстріл Херсонського порту пошкодження зазнали два судна, що належать іноземним компаніям (турецькі ""Tuzla"", ""Ferahnaz""). Через це стався витік нафтопродуктів у Дніпро.",1. https://t.me/khersonskaODA/3399 2. https://www.cumhuriyet.com.tr/turkiye/kherson-limaninda-turk-gemileri-hasar-gordu-cok-sikintili-ve-endiseliyiz-2024980,46.623753210539846,32.60962869897075,2023-01-29,,1,
ships,1,"Знищення цивільного судна під прапором Молдови ""Millennial Spirit"" (другий удар по судну)","Бункеровщик ""Міленіум Спіріт"" під прапором Молдови за 12 миль від порту Південний був підбитий російським кораблем. Внаслідок ураження судна стався витік паливо-мастильних матеріалів, який утворив плівку на поверхні води.",1. https://www.eurointegration.com.ua/news/2022/02/25/7134666/ 2. https://t.me/Bratchuk_Sergey/15090,45.765217720522095,30.580530974382548,2022-02-24,,0,
ships,1,Пошкодження теплоходу «Banglar Samriddhi»,"Російська ракета влучила у теплохід «Banglar Samriddhi» (прапор Бангладеш), який стояв на рейді порту «Ольвія». Суховантаж MV Banglar Samriddhi викликає занепокоєння, бо стоїть покинутий посеред Бузького лиману і може бути потенційним джерелом забруднення для нього.",https://t.me/mvs_ukraine/9018,46.83955241722536,31.951150803475517,2022-03-02,,1,
ships,1,Три судна під панамським прапором були вражені ракетами РФ у Чорному морі. Одне з них затонуло,"Три цивільні судна під панамським прапором - Namura Queen, Lord Nelson, Helt - були атаковані росіянами у Чорному морі. Одне із них затонуло. ",1. https://www.reuters.com/world/panama-says-three-ships-hit-black-sea-since-start-ukraine-war-2022-03-16/ 2. https://t.me/Bratchuk_Sergey/6686 ,45.92897116984975,30.5449122212945,2022-03-17,,0,
ships,1,"У Чорному морі в турецький корабель, який вийшов з Одеси і прямував до Румунії, влучила бомба","Турецький корабель, що належить компанії YA-SA Shipping, ішов під прапором Маршаллових островів.","1. https://www.eurointegration.com.ua/news/2022/02/24/7134601/ 2. https://www.ntv.com.tr/turkiye/karadenizde-turk-gemisine-bomba-isabet-etti,ZxeLwCi9Q0CSvP4eYpy3NQ",46.054762557470966,30.700963611965307,2022-02-24,,0,
ships,1,Пошкодження танкеру MTM RIO Grande,"Російський снаряд влучив у танкер MTM RIO Grande, який під Домініканським прапором знаходився у порту ""Ніка-Тера"" у Миколаєві. Затоплення цього судна, ймовірно, призвело до витоку значних обсягів паливно-мастильних матеріалів у Дніпро-Бузький лиман.",https://usm.media/tanker-v-portu-nikolaeva-popal-pod-obstrel/ https://ceobs.org/%D0%B5%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9-%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B5%D0%BD%D1%8C-%D1%89%D0%BE%D0%B4%D0%BE-%D0%B2%D1%96%D0%B9%D0%BD%D0%B8-%D0%B2-%D1%83%D0%BA%D1%80/,46.85261220313498,31.978103039158253,2022-05-03,,1,
industry,3,Підрив та знищення Каховської ГЕС,"3 машинної зали ГЕС стався витік 150 тонн мастила та інших забруднювачів, а площа затоплених територй склала 140 квадратних кілометрів. Це, разом з тимчасовим опрісненням води у Чорному морі призвело до руйнації екосистем та загибелі різних видів організмів, у тому числі і дельфінів. ",https://t.me/mvs_ukraine/28751 https://uncg.org.ua/iakymy-ie-naslidky-rosijskoho-teraktu-na-kakhovskij-hes-dlia-dykoi-pryrody/ https://www.facebook.com/UkrSCES/posts/pfbid0eyEmV6zFDCxWdWjfYc1c6SBR4M3nkZMVwAXtvPaVX4tekZ9mTZuvzSuVfaBzESpTl,46.77870376675528,33.36955472926673,2023-06-06,,1,
industry,3,Влучання в резервуари з олією в Миколаєві,"Після атаки на терміналі “Евері” два резервуари з соняшниковою олією почали витікати і загорілися. Рослинна олія з пошкоджених цистерн потрапила, зокрема, до акваторії Бузького лиману, площа забруднення склала близько 2 квадратних км. До олійного забруднення додалося забруднення від водних плівкоутворюючих піноутворювачів, які використовуються при гасінні пожеж. ",https://www.facebook.com/DSNSMYKOL/posts/pfbid02UNQEDcoSEim4zoEdcigqRwTY2R9qsQBiSXtYSTFuXAJY8fjguPt46RHDAABskcCjl,46.84425151650094,31.971460259917485,2022-10-16,,0,
shelling,2,Удар по території Очаківського військового порту,"Військові РФ завдали авіаудар по території Очаківського військового порту, внаслідок чого виникла пожежа, викиди якої стали джерелом забруднення для повітря та Чорного моря.",https://www.facebook.com/VitaliiKimODA/posts/323154743171847,46.63224306910894,31.580277468423574,2022-02-24,,0,
industry,3,"Ураження складських будівель зернового терміналу ""Ніка-Тера""","Внаслідок влучання у складську будівлю із зерновим шротом виникла масштабна пожежа. Супутникові знімки показують пошкодження трьох складів, де, ймовірно, зберігалася аміачна селітра, та резервуари з коричневою водою – ймовірно, забрудненою піною для пожежогасіння і добривами, що становить екологічну небезпеку для лиману.",https://www.facebook.com/DSNSMYKOL/posts/pfbid02yhxEw3vSfFBNVPiArGU7rinF9UCMECCgcpMyVEGYCYyKXrrLxKGHHrTQcCgW64zal https://ceobs.org/%D0%B5%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9-%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B5%D0%BD%D1%8C-%D1%89%D0%BE%D0%B4%D0%BE-%D0%B2%D1%96%D0%B9%D0%BD%D0%B8-%D0%B2-%D1%83%D0%BA%D1%80/,46.837106296749106,31.956505229720612,2022-06-04,,0,
industry,3,Ураження порту QTerminals Olvia,"Супутникові знімки показують величезні пошкодження 13 з 14 складів, які огороджені валами – це свідчить про зберігання аміачної селітри, або, можливо, боєприпасів. Забруднення від токсичних сполук боєприпасів і військового майна, ймовірно, потрапило до лиману та його верхньої течії з численних місць. ",https://t.me/mvs_ukraine/9018 https://ceobs.org/%D0%B5%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9-%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B5%D0%BD%D1%8C-%D1%89%D0%BE%D0%B4%D0%BE-%D0%B2%D1%96%D0%B9%D0%BD%D0%B8-%D0%B2-%D1%83%D0%BA%D1%80/,46.83955241722536,31.951150803475517,2022-03-02,,1,
shelling,2,Потужний удар по береговій смузі в Очакові,"Протягом дня окупанти обстрілювали берегову смугу Очакова. Ракетним ударом уражено склад боєприпасів, вибухова хвиля докотилася до Миколаєва  ",https://t.me/mykolaivskaODA/4000,46.6267673,31.5694264,2023-01-09,,,
